Stakeholder,Stake,Shares owned,Total value ($),Shares bought / sold,Total change,Symbol
"The Vanguard Group, Inc.",8.61%,"49,524,158","6,760,542,809","+399,718",+0.81%,MMM
"SSgA Funds Management, Inc.",7.36%,"42,314,221","5,776,314,309","+134,874",+0.32%,MMM
BlackRock Fund Advisors,5.00%,"28,757,731","3,925,717,859","+704,168",+2.51%,MMM
Massachusetts Financial Services ...,1.90%,"10,907,708","1,489,011,219","-117,927",-1.07%,MMM
State Farm Investment Management ...,1.78%,"10,245,700","1,398,640,507","-886,000",-7.96%,MMM
Geode Capital Management LLC,1.63%,"9,384,626","1,281,095,295","+282,176",+3.10%,MMM
"Northern Trust Investments, Inc.(...",1.27%,"7,325,778","1,000,041,955","-79,674",-1.08%,MMM
Wellington Management Co. LLP,1.06%,"6,116,198","834,922,189","+664,007",+12.18%,MMM
Flossbach von Storch AG,1.01%,"5,822,643","794,848,996","+783,952",+15.56%,MMM
Norges Bank Investment Management,0.87%,"4,975,366","679,187,213","+155,879",+3.23%,MMM
"The Vanguard Group, Inc.",8.44%,"148,783,982","11,740,544,020","+1,245,808",+0.84%,ABT
Capital Research & Management Co....,6.45%,"113,689,293","8,971,222,111","+616,255",+0.55%,ABT
BlackRock Fund Advisors,4.74%,"83,656,249","6,601,314,609","-2,496,183",-2.90%,ABT
"SSgA Funds Management, Inc.",4.17%,"73,555,650","5,804,276,342","+978,575",+1.35%,ABT
Capital Research & Management Co....,2.68%,"47,327,202","3,734,589,510","+1,328,056",+2.89%,ABT
Wellington Management Co. LLP,2.19%,"38,600,336","3,045,952,514","-2,088,922",-5.13%,ABT
Massachusetts Financial Services ...,1.76%,"30,979,804","2,444,616,334","-909,160",-2.85%,ABT
"Northern Trust Investments, Inc.(...",1.52%,"26,740,170","2,110,066,815","+468,707",+1.78%,ABT
Geode Capital Management LLC,1.42%,"25,003,825","1,973,051,831","+330,243",+1.34%,ABT
Fidelity Management & Research Co...,1.34%,"23,688,027","1,869,222,211","-1,349,237",-5.39%,ABT
"The Vanguard Group, Inc.",8.13%,"120,014,023","9,143,868,412","+384,561",+0.32%,ABBV
Capital Research & Management Co....,5.87%,"86,602,693","6,598,259,180","-14,011,979",-13.93%,ABBV
"SSgA Funds Management, Inc.",4.65%,"68,686,698","5,233,239,521","-134,041",-0.19%,ABBV
BlackRock Fund Advisors,4.37%,"64,500,051","4,914,258,886","-2,209,581",-3.31%,ABBV
Fidelity Management & Research Co...,2.48%,"36,645,084","2,791,988,950","+2,663,144",+7.84%,ABBV
